year,genre,country
1894,Romance,United States
1906,"Biography, Crime, Drama",Australia
1911,Drama,"Germany, Denmark"
1912,"Drama, History",United States
1911,"Adventure, Drama, Fantasy",Italy
1912,"Biography, Drama",United States
1919,"Biography, Drama, Romance",Germany
1913,"Drama, History",Italy
1912,"History, War",Romania
1912,Drama,"France, United States"
1913,Drama,Denmark
1913,"Crime, Drama",France
1913,Drama,Sweden
1913,"Crime, Drama",France
1914,Drama,Italy
1914,"Drama, War",Belgium
1913,"Crime, Drama, Mystery",France
1914,Drama,United States
1913,"Drama, Fantasy, Horror",Germany
1913,"Crime, Drama",United States
1913,"Adventure, Drama",Italy
1915,Drama,Italy
1914,"Crime, Drama, Horror",United States
1914,Western,United States
1914,"Adventure, Drama, History",Italy
1914,"Fantasy, Drama",United States
1913,"Crime, Drama",France
1914,"Crime, Drama",France
1914,Comedy,United States
1915,Horror,Germany
1914,"Drama, Mystery",Denmark
1914,"Family, Fantasy, Adventure",United States
1915,Drama,United States
1914,"Drama, History","United States, Canada"
1914,Drama,United States
1914,"Adventure, Family, Fantasy",United States
1914,"Action, Adventure, Drama",United States
1914,"Action, Drama, Romance",United States
1914,Drama,United States
1914,Comedy,United States
1915,Drama,Hungary
1914,Drama,United States
1914,Western,United States
1914,"Comedy, Drama",United States
1914,"Drama, Romance",United States
1915,"Crime, Drama",United States
1915,"Adventure, Family, Fantasy",United States
1915,"Drama, History, War",United States
1915,Drama,United States
1915,"Drama, Romance",United States
1915,"Drama, History, War",United States
1915,Drama,United States
1915,Drama,United States
1916,"Crime, Drama, Horror",Denmark
1915,Drama,United States
1915,Adventure,Italy
1915,"Drama, History, War",United States
1915,Drama,United States
1915,Drama,Russia
1917,"Drama, Fantasy, Horror",Italy
1915,"Biography, Crime, Drama",United States
1915,"Action, Adventure, Crime",France
1915,Comedy,United States
1916,"Action, Adventure, Sci-Fi",United States
1916,Drama,United States
1915,Drama,United States
1916,Drama,United States
1916,"Comedy, Crime, Drama",Sweden
1916,"Adventure, Comedy",United States
1916,"Crime, Drama",United States
1916,"Romance, Western",United States
1916,"Crime, Drama, Romance",United States
1916,Western,United States
1916,"Romance, Western",United States
1916,Comedy,United States
1916,"Comedy, Drama, Romance",United States
1916,"Drama, History",United States
1916,"Adventure, Crime",France
1916,"Comedy, Romance",United States
1916,"Drama, Fantasy, Horror",Russia
1916,"Action, Comedy, Drama",United States
1916,"Action, Adventure, Romance",United States
1916,Comedy,Germany
1916,Mystery,United States
1916,Drama,United States
1916,"Fantasy, Romance",United States
1916,"Comedy, Drama",United States
1916,Drama,Sweden
1916,Drama,United States
1917,"Drama, Western",United States
1917,Western,United States
1917,"Biography, Drama, History",United States
1917,Horror,Germany
1917,Comedy,United States
1918,"Adventure, Fantasy, Sci-Fi",Denmark
1916,"Adventure, Drama, History",United States
1917,"Drama, Romance, War",United States
1917,Drama,United States
1917,Drama,France
1917,"Adventure, Comedy, Western",United States
1918,"Biography, Drama, History",Russia
1917,"Comedy, Drama, Family",United States
1917,"Adventure, Crime, Romance",United States
1917,"Comedy, Drama",United States
1917,"Adventure, Comedy, Drama",United States
1917,Drama,Russia
1917,Western,United States
1917,"Drama, History, Romance",United States
1917,"Drama, War",Sweden
1917,Comedy,Sweden
1917,Comedy,United States
1917,"Adventure, Comedy, Drama",United States
1917,Drama,Sweden
1917,"Comedy, Western, Romance",United States
1918,"Comedy, Romance",United States
1919,Drama,Hungary
1918,"Drama, Horror",Germany
1918,Drama,Sweden
1918,"Family, Fantasy",United States
1918,Romance,United States
1918,Drama,Germany
1918,Drama,France
1917,Comedy,Germany
1918,"Drama, Romance",United States
1918,"Drama, War",United States
1918,Western,United States
1918,"Comedy, Romance",United States
1918,"Comedy, Drama",United States
1918,Drama,United States
1918,"Comedy, Drama",United States
1918,Drama,United States
1918,"Comedy, Romance",United States
1919,"Drama, Romance",United States
1918,Drama,United States
1918,"Comedy, War",United States
1918,Drama,United States
1918,"Action, Adventure",United States
1918,"Adventure, Mystery",France
1918,"Drama, War",United States
1918,Drama,United States
1919,"Crime, Drama, History",Germany
1919,"Drama, History, Romance",United States
1919,Comedy,Germany
1919,"Action, Crime",Mexico
1919,"Adventure, Romance, Western",Canada
1919,"Drama, Thriller, War",United States
1919,"Drama, Romance",United States
1919,"Drama, Romance",United States
1919,"Drama, Sport",United States
1919,"Comedy, Drama",United States
1919,"Comedy, Drama",United States
1919,Comedy,United States
1919,Drama,United States
1919,Drama,United States
1919,Comedy,United States
1919,Drama,United States
1919,"Adventure, Drama",United States
1919,Drama,Germany
1919,"Adventure, Comedy, Romance",United States
1919,"Drama, Romance",United States
1919,"Drama, History",Sweden
1919,Comedy,United States
1918,"Comedy, Romance",Germany
1919,Drama,Sweden
1919,"Drama, Horror, War",France
1920,"Fantasy, Horror, Mystery",Germany
1919,"Adventure, Drama",United States
1919,Comedy,Germany
1919,Drama,United States
1919,Drama,United States
1919,"Drama, History, Horror",Germany
1919,Drama,Denmark
1919,"Comedy, Fantasy",Germany
1919,"Comedy, Drama, Sport",United States
1919,"Adventure, Romance, Western",United States
1919,"Drama, Romance",Australia
1919,"Adventure, Western",Germany
1919,"Drama, Romance",Sweden
1919,"Comedy, Drama, Romance",United States
1919,"Fantasy, Horror, Mystery",Germany
1919,"Drama, Romance",United States
1919,Western,United States
1919,"Action, Comedy, Romance",United States
1919,"Drama, Crime",United States
1919,Comedy,United States
1920,"Fantasy, Sci-Fi",Germany
1920,"Biography, Drama, Romance",Germany
1920,"Drama, Crime",United States
1921,"Adventure, Fantasy, Mystery","France, Belgium"
1920,Drama,Denmark
1920,"Drama, Horror, Sci-Fi",United States
1920,"Comedy, Romance",Sweden
1920,"Crime, Drama, Romance",Norway
1920,Comedy,United States
1921,Drama,"Germany, Denmark"
1920,Horror,Germany
1920,"Fantasy, Horror",Germany
1920,"Biography, Comedy, Drama",United States
1924,Drama,France
1920,Drama,France
1920,Drama,United States
1920,Drama,United States
1920,"Comedy, Drama, Western",United States
1920,Drama,Germany
1920,Drama,Sweden
1920,"Comedy, Romance",Germany
1920,"Action, Adventure, Drama",United States
1920,"Comedy, Romance",United States
1920,Drama,United States
1920,"Adventure, Romance, Western",United States
1921,Drama,Norway
1920,"Adventure, Comedy, Romance",United States
1920,Drama,United States
1920,"Family, Comedy, Drama",United States
1920,"Comedy, Drama, Horror",Sweden
1920,Drama,United States
1920,Comedy,Germany
1920,"Comedy, Western",United States
1920,Comedy,United States
1920,Drama,United States
1920,Drama,United States
1920,Adventure,Germany
1920,"Comedy, Drama, Romance",United States
1920,"Adventure, Drama, Romance",Germany
1920,Mystery,United States
1920,"Adventure, Drama, Western",United States
1920,"Drama, Thriller",Germany
1920,Romance,Germany
1920,"Drama, Romance",United States
1920,"Comedy, Drama",United States
1920,"Drama, Romance",United States
1921,"Crime, Drama, Mystery",United States
1921,"Action, Adventure",United States
1921,"Comedy, Drama",United States
1921,Comedy,United States
1921,"Comedy, Drama, Romance",Germany
1921,"Drama, Romance",United States
1921,"Adventure, Fantasy, Romance",United States
1921,"Drama, Romance",United States
1921,"Drama, Romance",United States
1921,"Comedy, Drama, Romance",United States
1921,"Comedy, Romance",United States
1921,Drama,France
1921,Comedy,United States
1921,Drama,United States
1921,"Drama, Romance, War",United States
1921,Drama,Germany
1921,Drama,Germany
1921,"Adventure, Fantasy",Germany
1921,"Adventure, Fantasy",Germany
1921,Drama,Sweden
1921,"Comedy, Drama, Family",United States
1921,"Drama, Fantasy, Horror",Sweden
1924,Comedy,United States
1921,Drama,United States
1921,Drama,United States
1921,"Comedy, Drama",United States
1921,"Comedy, Drama",United States
1921,"Drama, Fantasy, Thriller",Germany
1921,"Action, Comedy, Romance",United States
1921,"Drama, History, Romance",United States
1920,"Crime, Romance, Thriller",United States
1921,Drama,Japan
1921,Comedy,United States
1921,Drama,Germany
1921,Drama,Germany
1921,"Crime, Drama, Horror",Germany
1921,"Adventure, Drama, Romance",United States
1921,Drama,United States
1921,Drama,France
1921,"Action, Adventure, Romance",United States
1921,"Comedy, Drama",United States
1921,Drama,United States
1921,Drama,United States
1921,Drama,Germany
1922,"Drama, Romance",United States
1922,"Drama, Romance",United States
1922,"Drama, Romance, Sport",United States
1922,Drama,Germany
1922,Romance,United States
1922,Drama,"France, Belgium"
1922,"Drama, Family, Fantasy",Denmark
1922,"Comedy, Romance",United States
1922,"Adventure, Drama, Romance",United States
1922,Drama,France
1922,Drama,United States
1922,"Drama, Thriller",United States
1922,Drama,Germany
1922,"Comedy, Family",United States
1922,"Comedy, Drama, Horror",United States
1922,"Drama, Romance",United States
1922,Mystery,United States
1922,Drama,United States
1923,Drama,United States
1922,"Drama, Romance",United States
1922,Adventure,United States
1922,"Drama, History",Germany
1922,"Fantasy, Horror",Germany
1922,Drama,United States
1922,"Drama, Romance",Germany
1922,"Drama, Romance",Germany
1922,"Adventure, Romance",United States
1922,"Adventure, Family, Romance",United States
1922,"Biography, Drama, History",United States
1922,"Comedy, Romance",United States
1923,"Drama, Fantasy, Horror",Germany
1922,"Drama, Romance",United States
1922,Drama,United States
1922,"Drama, Mystery",United States
1922,"Action, Drama, Romance",United States
1922,Drama,"Germany, Austria"
1922,"Drama, Romance",United States
1922,"Action, Adventure, Comedy",United States
1922,"Drama, Family, Fantasy",United States
1922,Drama,United States
1922,"Drama, Crime",United Kingdom
1922,"Drama, History",Germany
1922,"Romance, Drama",United States
1922,"Romance, Drama",United States
1923,Drama,Germany
1923,Drama,United States
1923,"Drama, Romance",France
1923,"Adventure, Romance, Western",United States
1923,"Comedy, Romance",United States
1923,Drama,Sweden
1924,"Drama, Romance",Sweden
1923,"Adventure, Crime, Drama",United States
1923,"Drama, Horror, Romance",United States
1923,"Comedy, Romance",United States
1923,"Comedy, Romance, Thriller",United States
1923,Comedy,United States
1923,Drama,Germany
1923,"Romance, Comedy",United States
1923,Drama,France
1923,"Action, Comedy, Thriller",United States
1923,"Drama, Romance",United States
1923,"Drama, Romance",Germany
1923,Drama,United States
1923,"Comedy, Drama, Romance",United States
1923,Drama,Germany
1924,Drama,Germany
1923,"Biography, Drama, Fantasy",United States
1923,Comedy,United States
1924,"Fantasy, Horror",Germany
1923,"Drama, Romance",United States
1923,"Drama, Romance",United States
1923,"Crime, Drama, Mystery",United States
1923,"Adventure, Comedy, Family",United States
1923,"Drama, Romance",United States
1923,"Romance, Drama",United States
1924,"Adventure, Comedy, Drama",Russia
1924,"Drama, History, War",United States
1924,"Drama, History, Romance",United States
1923,"Drama, Romance, Sci-Fi",United States
1924,Drama,United States
1923,"Adventure, Drama",United States
1924,"Drama, Horror, Romance",United States
1924,"Drama, History, Romance",United States
1924,Drama,United States
1924,Drama,United States
1925,"Drama, Romance",France
1924,Comedy,Germany
1924,Comedy,United States
1924,"Comedy, Romance",United States
1924,"Drama, Romance, Thriller",United States
1924,"Comedy, Romance",United States
1924,Comedy,United States
1924,"Adventure, Drama, Mystery",France
1924,"History, Romance, Western",United States
1924,"Drama, Romance",United States
1924,"Drama, History, Romance",United States
1924,Drama,France
1924,Drama,Germany
1924,"Drama, Comedy",United States
1924,Comedy,United States
1924,"Drama, Romance",Germany
1924,"Drama, Romance",United States
1924,"Action, Comedy, Romance",United States
1924,Comedy,Russia
1924,"Adventure, Drama, Fantasy",Germany
1924,"Adventure, Drama, Fantasy",Germany
1924,Comedy,United States
1924,"Crime, Horror, Mystery","Austria, Germany"
1924,"Comedy, Romance",Russia
1924,Sci-Fi,France
1924,"Adventure, Fantasy, Family",United States
1924,Drama,United States
1924,"Drama, History",United States
1924,"Adventure, Drama, Romance",United States
1924,Drama,United States
1924,"Action, Comedy, Romance",United States
1925,Drama,Russia
1924,"Adventure, Family, Fantasy",United States
1924,Drama,United Kingdom
1924,"Drama, Romance",United States
1924,"Comedy, Drama",United States
1924,Romance,United States
1926,"Animation, Adventure, Family",Germany
1925,"Drama, Romance, War",United States
1925,Drama,United States
1925,Western,United States
1925,"Drama, History, Thriller",Russia
1925,Drama,United States
1925,"Adventure, Romance, Western",United States
1925,"Drama, Romance",United States
1925,"Adventure, Romance",United States
1925,Drama,Denmark
1925,"Action, Comedy, Drama",United States
1925,"Drama, Fantasy",France
1926,Drama,France
1925,"Comedy, Family, Romance",United States
1925,Drama,Germany
1926,Drama,Japan
1926,"Drama, Romance","Norway, Sweden"
1925,"Comedy, Western",United States
1925,"Adventure, Comedy, Drama",United States
1925,Drama,United States
1924,"Drama, Thriller, Western",United States
1926,Drama,France
1925,Comedy,United States
1925,"Biography, Drama, History",Chile
1925,Comedy,United States
1925,"Drama, Romance",United States
1925,Drama,United States
1925,"Action, Comedy, Drama",United States
1925,"Drama, Romance",United States
1925,"Drama, Comedy",United States
1935,"Comedy, Family, Musical",United States
1925,"Adventure, Fantasy, Thriller",United States
1925,"Drama, Romance",United States
1925,"Comedy, Horror, Mystery",United States
1925,Drama,United States
1925,"Action, Adventure",Japan
1925,"Crime, Drama, Romance",United States
1925,"Comedy, Crime, Romance",United States
1925,Horror,United States
1925,"Comedy, Romance, Sport",United States
1925,"Drama, Romance","United Kingdom, Germany"
1925,Drama,France
1925,Drama,"India, Germany"
1925,"Comedy, Drama",United States
1925,"Drama, Comedy",United States
1925,"Biography, Drama, Romance",United States
1925,"Action, Drama, Western",United States
1925,"Drama, Fantasy, Romance",United States
1925,Comedy,United States
1925,"Comedy, Drama",United States
1925,Drama,United States
1925,"Comedy, Romance",United States
1925,"Adventure, Fantasy, Sci-Fi","United Kingdom, Germany"
1925,Drama,United States
1924,Drama,Austria
1925,Comedy,United States
1925,Drama,United States
1925,Western,United States
1925,"Crime, Drama, Romance",United States
1925,Western,United States
1925,"Crime, Drama, Romance",Germany
1925,"Drama, Mystery, Romance","Switzerland, France"
1926,"Comedy, Drama, Fantasy",France
1925,"Comedy, Family, Fantasy",United States
1925,"Adventure, Drama, Romance",United States
1925,"Comedy, Drama",United States
1925,Comedy,Russia
1925,"Action, Comedy, Drama",United States
1925,Drama,Germany
1926,"Drama, Romance",United States
1926,"Mystery, Thriller",United States
1926,"Action, Comedy, Romance",United States
1926,"Action, Adventure, Drama",United States
1926,"Crime, Drama, Horror",United States
1926,"Comedy, War, Drama",United States
1926,"Comedy, Romance",United States
1926,"Adventure, Action",United States
1926,"Crime, Drama, Romance",United States
1926,"Action, Drama",United States
1926,"Drama, Romance",United States
1926,"Comedy, Romance",United States
1926,"Action, Drama, Romance",United States
1926,"Drama, Romance",Norway
1926,Drama,United States
1926,"Adventure, Romance",United States
1926,"Comedy, Romance",United States
1926,"Comedy, Romance",United States
1926,"Comedy, Romance",United States
1926,"Drama, Fantasy, Horror",Germany
1926,Comedy,United States
1926,Comedy,United States
1926,"Drama, Romance",United States
1926,"Action, Comedy, Romance",United States
1926,Drama,Germany
1926,Western,United States
1926,"Action, Comedy, War",United States
1926,Drama,Germany
1927,Comedy,United States
1926,"Adventure, Comedy, Romance",United States
1926,"Comedy, Romance",United States
1926,Comedy,United States
1926,"Drama, Thriller",Japan
1927,"Crime, Drama, Mystery",United Kingdom
1926,"Comedy, Drama, Romance",United States
1925,"Action, Drama, Fantasy",Italy
1926,"Drama, Fantasy, Horror",United States
1926,Comedy,United States
1926,"Drama, War",United States
1926,Drama,Russia
